Date,Startup Name,Industry Vertical,SubVertical,City  Location,Investors Name,InvestmentnType,Amount in USD,No of Investors
05/11/2015,MYINDIANSTAY,HOME STAY AND ROOM RENTALS PLATFORM,OTHERS,GOA,UNDISCLOSED INVESTORS AND TAMARIND FAMILY PRIVATE TRUST,SEED FUNDING,200000,1
04/11/2015,SHIRSA LABS,DIGITAL INTELLIGENT LEARNING PLATFORM,OTHERS,MUMBAI,"AH! VENTURES, VIKTOR KOENIG PE FUND, MANTRA VENTURES",SEED FUNDING,250000,3
04/11/2015,YOURDOST,ONLINE COUNSELLING AND PSYCHOLOGICAL SUPPORT PLATFORM,OTHERS,GWALIOR,"PHANINDRA SAMA, APRAMEYA RADHAKRISHNA, ANEESH REDDY, NEERAJ JAWALKAR, SANJAY ANANDARAM, PAVAN ONGOLE, VENK KRISHNAN",SEED FUNDING,400000,7
03/11/2015,POKKT,ALTERNATE MOBILE MONETIZATION PLATFORM,OTHERS,MUMBAI,"SEGNEL VENTURE, SHINJI KIMURA, SUNDAR CHANRAI, JAFCO ASIA, SINGTEL X80X99S INNOV8, JUNGLE VENTURES, K GANESH",PRIVATE EQUITY,5000000,7
03/11/2015,OIBANIT,ONLINE FOOD ORDERING MARKETPLACE,OTHERS,VADODARA,"VARUN AHUJA, ANUBHAV VERMA",SEED FUNDING,150000,2
03/11/2015,STUFFED,QUICK SERVICE RESTAURANT AND ONLINE DELIVERY,OTHERS,MUMBAI,RIQUEZA CAPITAL,SEED FUNDING,385000,1
03/11/2015,LOANBABA,ONLINE LOANS MARKETPLACE,OTHERS,MUMBAI,UNDISCLOSED INVESTORS AND TAMARIND FAMILY PRIVATE TRUST,SEED FUNDING,320000,1
03/11/2015,DEYOR ROOMS,BUDGET HOTELS AGGREGATOR,OTHERS,NEW DELHI,DHEERAJ JAIN AND OTHERS,SEED FUNDING,500000,1
03/11/2015,BIDGELY,EFFICIENT ENERGY MANAGEMENT PLATFORM,OTHERS,USA,"CONSTELLATION TECHNOLOGY VENTURES (EXELON CORPORATION), E.ON, RWE, KHOSLA VENTURES",PRIVATE EQUITY,16600000,4
02/11/2015,TWIGLY,ONLINE FOOD ORDERING AND DELIVERY PLATFORM,OTHERS,GURUGRAM,"AMIT GUPTA, SAHIL BARUA, MUKUL SINGHAL, TRACXN LABS",SEED FUNDING,200000,4
02/11/2015,CITYFLO,BUS AGGREGATION AND RENTAL MOBILE APP,OTHERS,MUMBAI,"IDG VENTURES INDIA, MICHAEL AND SUSAN DELL FOUNDATION, DRAPER ASSOCIATES, UNITUS SEED FUND",SEED FUNDING,750000,4
31/10/2015,JUGNOO,AUTORICKSHAW AGGREGATOR AND BOOKING PLATFORM,OTHERS,CHANDIGARH,"PAYTM, SAIF PARTNERS, TIGER GLOBAL MANAGEMENT AND OTHERS",PRIVATE EQUITY,10000000,3
30/10/2015,LIFTO,RIDESHARING MOBILE APP,OTHERS,MUMBAI,"RAJESH BHATIA, DHEERAJ MEHTA AND OTHERS",SEED FUNDING,130000,2
30/10/2015,TINYOWL,FOOD DISCOVERY AND DELIVERY MOBILE APP,OTHERS,MUMBAI,"SEQUOIA CAPITAL, MATRIX PARTNERS",PRIVATE EQUITY,7500000,2
30/10/2015,TOPPR ,COMPETITIVE EXAM LEARNING PLATFORM,OTHERS,MUMBAI,INNOVEN CAPITAL INDIA,PRIVATE EQUITY,2000000,1
30/10/2015,KLEETO,DOCUMENT DIGITIZATION PLATFORM,OTHERS,GURUGRAM,GREX.IN,SEED FUNDING,230000,1
30/10/2015,BEACONSTALK,PROXIMITY MARKETING AND MOBILE ADVERTISING PLATFORM,OTHERS,MUMBAI,PUNEET BHATIA AND OTHERS,SEED FUNDING,80000,1
29/10/2015,ZOPHOP,PUBLIC COMMUTE HELPER APP,OTHERS,MUMBAI,"AMIT SINGHAL, PK GULATI AND OTHERS",SEED FUNDING,450000,2
28/10/2015,ORIGA LEASING,ASSET FINANCING PLATFORM,OTHERS,MUMBAI,"AH! VENTURES, 500 STARTUPS AND OTHER HNIS",SEED FUNDING,1100000,2
28/10/2015,SMARTIVITY.IN,VIRTUAL REALITY ACTIVITY BASED LEARNING PLATFORM,OTHERS,NEW DELHI,"S CHAND AND CO PVT LTD, BLUME VENTURES",SEED FUNDING,200000,2
27/10/2015,HAPPITOO,LOCATION BASED NIGHTLIFE RECOMMENDATION PLATFORM,OTHERS,MUMBAI,UNNAMED INVESTOR,SEED FUNDING,77000,1
27/10/2015,CARE24,PROFESSIONAL HEALTH SERVICES PLATFORM,OTHERS,MUMBAI,"INDIA QUOTIENT, FAO VENTURES, INDIAN ANGEL NETWORK, TUSHAR SINGH, RANJAN SHARMA",SEED FUNDING,350000,5
27/10/2015,ROADRUNNR,HYPERLOCAL LOGISTICS SERVICE,OTHERS,BENGALURU,"SEQUOIA CAPITAL, NEXUS VENTURE PARTNERS, LIGHTSPEED VENTURES, GFC",PRIVATE EQUITY,10000000,4
26/10/2015,PARCELLED,ONLINE LOGISTICS PLATFORM,OTHERS,BENGALURU,"DELHIVERY, SANDS CAPITAL AND ACCEL PARTNERS",PRIVATE EQUITY,5000000,2
26/10/2015,ALMAMAPPER,ONLINE STUDENT AND CAMPUS SOCIAL NETWORKING PLATFORM,OTHERS,AHMEDABAD,OSWAL TECHNO VENTURES LLP,SEED FUNDING,400000,1
26/10/2015,FLEXING IT,PROFESSIONALS AND PROJECT SEARCH MARKETPLACE,OTHERS,NEW DELHI,UNDISCLOSED PRIVATE INVESTORS,SEED FUNDING,500000,1
26/10/2015,NETMEDS ,ONLINE PHARMACY AND DRUG DB,OTHERS,CHENNAI,"ORBIMED, PRADIP DADHA GROUP",PRIVATE EQUITY,50000000,2
26/10/2015,RAZORPAY,ONLINE PAYMENT GATEWAY,OTHERS,JAIPUR,"TIGER GLOBAL MANAGEMENT, MATRIX PARTNERS",PRIVATE EQUITY,9000000,2
23/10/2015,MEDD,PERSONAL DIAGNOSTIC MOBILE APP,OTHERS,MUMBAI,GROUP OF ANGEL INVESTORS FROM US/INDIA,SEED FUNDING,150000,1
23/10/2015,LEAPING CARAVAN,ONLINE FOOD ORDERING AND DELIVERY SERVICE,OTHERS,GURUGRAM,GROUP OF ANGEL INVESTORS FROM US/INDIA,SEED FUNDING,150000,1
23/10/2015,FRSH.CO.IN,ONLINE FOOD ORDERING AND DELIVERY SERVICE,OTHERS,GURUGRAM,"MUMBAI ANGELS, MAYANK BHANGDIA, KAE CAPITAL",PRIVATE EQUITY,1000000,3
23/10/2015,QIK STAY,HOTEL AGGREGATOR AND BOOKING PLATFORM,OTHERS,NEW DELHI,ID ENABLERS PVT LTD,SEED FUNDING,250000,1
21/10/2015,AGENTDESKS,REAL ESTATE MOBILE CRM,OTHERS,NEW YORK,"SIERRA VENTURES, COTA CAPITAL, VEGAS TECH FUND",SEED FUNDING,2950000,3
21/10/2015,WHITE OWL BREWERY,MICROBREWERY,OTHERS,MUMBAI,"ARIHANT PATNI, RAAY GLOBAL INVESTMENTS",PRIVATE EQUITY,1530000,2
21/10/2015,MEALHOPPER,HOME MADE FOOD MARKETPLACE,OTHERS,GURUGRAM,"ALOK BAJPAI, RAJNISH KUMAR, AMIT DEY",SEED FUNDING,100000,3
21/10/2015,ZENIFY.IN,RESIDENTIAL RENTAL MANAGEMENT PLATFORM,OTHERS,BENGALURU,"ATUL JALAN, SHRIKANTH AND BHARATH",SEED FUNDING,640000,2
20/10/2015,OPINIO,LAST MILE DELIVERY SERVICE,OTHERS,BENGALURU,"DELHIVERY, SANDS CAPITAL AND ACCEL PARTNERS",PRIVATE EQUITY,7000000,2
20/10/2015,ATTUNE TECHNOLOGIES,HEALTHCARE IT SOLUTIONS AND SERVICES,OTHERS,CHENNAI,"QUALCOMM VENTURE, NORWEST VENTURE PARTNERS",PRIVATE EQUITY,10000000,2
19/10/2015,CITRUS PAYMENT,PAYMENTS SOLUTION PLATFORM,OTHERS,MUMBAI,"SEQUOIA CAPITAL, ASCENT CAPITAL, ECONTEXT ASIA, BEENOS ASIA",PRIVATE EQUITY,25000000,4
19/10/2015,HOLIDIFY,TRAVEL DESTINATION DISCOVERY PLATFORM,OTHERS,NEW DELHI,AARTI GROUP,SEED FUNDING,100000,1
17/10/2015,SCUBE FUTURETECH,STRUCTURAL AND CIVIL ENGG SERVICE AUTOMATION,OTHERS,MUMBAI,PARAMPARA CAPITAL,PRIVATE EQUITY,1000000,1
14/10/2015,ASKMYGIFT,PERSONALIZED WISH LIST CREATOR APP,OTHERS,NOIDA,TURNING IDEAS,SEED FUNDING,50000,1
14/10/2015,ZAPPFRESH,RAW MEAT AND READY TO EAT FOOD ETAILER,OTHERS,GURUGRAM,UNDISCLOSED INVESTORS AND TAMARIND FAMILY PRIVATE TRUST,SEED FUNDING,77000,1
13/10/2015,VOODOO,MOBILE ONLY SHOPPING ASSISTANT,OTHERS,NEW DELHI,"SAIF PARTNERS, APRAMEYA RADHAKRISHNAN, PHANINDRA SAMA, SUBBA RAO TELIDEVARA, VIBHU GARG, PAULA RAVINDRA MARIWALA, GAURAV BHALOTIA",SEED FUNDING,1000000,7
13/10/2015,LOOKUP,MOBILE MESSAGING ASSISTANT APP,OTHERS,BENGALURU,"KHOSLA IMPACT, BIZ STONE, CATAMARAN VENTURES, GLOBAL FOUNDERS CAPITAL, EUROPEAN INVESTMENT FUND",PRIVATE EQUITY,2500000,5
12/10/2015,ZIFY,RIDE SHARING PLATFORM,OTHERS,HYDERABAD,SEAN O X80X99SULLIVAN AND OTHERS,SEED FUNDING,190000,1
12/10/2015,GRIDLE,CLOUD BASED COLLABORATION PLATFORM,OTHERS,AHMEDABAD,"LETSVENTURE, PITCHRIGHT VENTURE, 91SPRINGBOARD, AL NOUR INTERNATIONAL HOLDINGS AND MARK V INVESTMENTS",SEED FUNDING,100000,4
09/10/2015,STOCKROOM.IO,DEVELOPER PORTFOLIO SHOWCASE PLATFORM,OTHERS,HYDERABAD,UNDISCLOSED INVESTORS AND TAMARIND FAMILY PRIVATE TRUST,SEED FUNDING,70000,1
09/10/2015,CLOUD LENDING,ENDTOEND LENDING PLATFORM,OTHERS,BENGALURU,SF CAPITAL GROUP,PRIVATE EQUITY,8000000,1
09/10/2015,INAYO,ONDEMAND HEALTHCARE MARKETPLACE,OTHERS,MUMBAI,"KEMARK VENTURES, AMIT RANJAN, ZISHAAN HAYATH AND OTHERS",SEED FUNDING,300000,3
09/10/2015,KULZY,ADVERTISING AND MARKETING COMMUNITY NETWORKING PLATFORM,OTHERS,NEW DELHI,"SEEDFUND, BEDROCK VENTURES",SEED FUNDING,1000000,2
09/10/2015,ZEPPERY,FOOD ORDERING AND DELIVERY APP,OTHERS,NEW DELHI,SUYASH SHARMA,SEED FUNDING,77000,1
08/10/2015,ZUPERMEAL,HOME COOKED FOOD MARKETPLACE AND DELIVERY,OTHERS,MUMBAI,"SANJEEV KAPOOR, RAVI SAXENA AND OTHERS",PRIVATE EQUITY,2000000,2
08/10/2015,CUBE26,GESTURE BASED MOBILE DEVELOPMENT,OTHERS,NEW DELHI,"TIGER GLOBAL MANAGEMENT, FLIPKART",PRIVATE EQUITY,7700000,2
08/10/2015,GRABHOUSE ,RENTAL ACCOMMODATION SEARCH PLATFORM,OTHERS,BENGALURU,SEQUOIA AND KALAARI CAPITAL.,PRIVATE EQUITY,10000000,1
08/10/2015,QUIFERS,LOGISTICS TECH PLATFORM,OTHERS,MUMBAI,"VIKAS AGARWAL, VISHAL KHARE, SANJEEV KAKKAR, SMILE GROUP",SEED FUNDING,310000,4
07/10/2015,SCHOOLGURU,ELEARNING SERVICE PROVIDER,OTHERS,MUMBAI,HIGH NETWORTH INDIVIDUALS FROM INDIA AND USA,PRIVATE EQUITY,3000000,1
07/10/2015,GOJAVAS,DELIVERY AND LOGISTICS SERVICE PROVIDER,OTHERS,GURUGRAM,SNAPDEAL,PRIVATE EQUITY,20000000,1
06/10/2015,DOCPLEXUS,EXCLUSIVE PLATFORM FOR DOCTORS AND HEALTHCARE PROFESSIONALS,OTHERS,PUNE,"UNIQORN VENTURES, ASP CONSULTING",SEED FUNDING,700000,2
06/10/2015,WORKINDIA,JOB BOARD,OTHERS,MUMBAI,"SATYEN KOTHARI, KESHAV SANGHI, RIDDHESH GANDHI AND OTHERS",SEED FUNDING,500000,3
06/10/2015,SPORTZVILLAGE,SPORTS MANAGEMENT AND PHYSICAL EDUCATION BUSINESS,OTHERS,BENGALURU,GAJA CAPITAL PRIVATE EQUITY FUND,PRIVATE EQUITY,10000000,1
06/10/2015,BURGER SINGH,QSR AND ONLINE DELIVERY PORTAL,OTHERS,GURUGRAM,"ASHVIN CHADHA, AVTAR MONGA, UDAAN ANGELS, DHEERAJ JAIN",SEED FUNDING,500000,4
06/10/2015,WE E CURE,ONLINE HOMEOPATHY CLINIC,OTHERS,MUMBAI,UNNAMED MEDIA HOUSE AND HNIS,PRIVATE EQUITY,6000000,1
05/10/2015,NYKAA,BEAUTY AND WELLNESS PRODUCTS ETAILER,OTHERS,MUMBAI,"HARSH MARIWALA, ATUL NISHAR, DALIP PATHAK, MICHAEL CARLOS",PRIVATE EQUITY,9500000,4
05/10/2015,VOYLLA,FASHION JEWELRY AND ACCESSORIES ETAILER,OTHERS,JAIPUR,PEEPUL CAPITAL,PRIVATE EQUITY,15000000,1
05/10/2015,INDIALENDS,ONLINE CONSUMER LENDING PLATFORM,OTHERS,NEW DELHI,"DSG CONSUMER PARTNERS, PARAGON PARTNERS",PRIVATE EQUITY,1000000,2
05/10/2015,ROCK N SHOP,PREMIUM APPAREL SHOPPING PORTAL,OTHERS,NEW DELHI,HIGH NETWORTH INDIVIDUALS (UNDISCLOSED),SEED FUNDING,150000,1
03/10/2015,CHILLR,MOBILE PAYMENTS APP,OTHERS,MUMBAI,"SEQUOIA CAPITAL INDIA, NORTH BASE MEDIA, AARIN CAPITAL, 3ONE4 CAPITAL, AXILOR VENTURES, KUNAL SHAH, SANDEEP TANDON",PRIVATE EQUITY,6000000,7
02/10/2015,SHOPALYST,PRODUCT DISCOVERY AND RECOMMENDATION PLATFORM,OTHERS,BENGALURU,"KALAARI CAPITAL, QUALCOMM VENTURES, RUNET, ZODIUS TECHNOLOGY OPPORTUNITIES FUND,",PRIVATE EQUITY,2000000,5
01/10/2015,MUVIZZ,MOVIEONDEMAND PLATFORM,OTHERS,SINGAPORE,"ASHISH TODI, ABHINAV PATODIA, KUMAR SHWETABH",SEED FUNDING,350000,3
30/09/2015,INFOWORKS,BIG DATA MANAGEMENT PLATFORM,OTHERS,BENGALURU,"NEXUS VENTURE PARTNERS, KNOLL VENTURES AND OTHERS",PRIVATE EQUITY,5000000,2
30/09/2015,REDDOORZ,BUDGET ACCOMMODATION PLATFORM,OTHERS,NOIDA,"JUNGLE VENTURES, TAURUS VALUE CREATION, KONLY VENTURE, BLUME VENTURES",SEED FUNDING,1000000,4
30/09/2015,EYWA MEDIA,DIGITAL SIGNAL PROCESSING PLATFORM,OTHERS,BENGALURU,"AH! VENTURES, VIKTOR KOENIG PE FUND, MANTRA VENTURES",SEED FUNDING,1000000,3
29/09/2015,PAYTM MARKETPLACE,ECOMMERCE AND MCOMMERCE PLATFORM,OTHERS,NEW DELHI,"ALIBABA GROUP, ANT FINANCIAL",PRIVATE EQUITY,680000000,2
29/09/2015,INMOBI,MOBILE ADVERTISING PLATFORM,OTHERS,BENGALURU,TENNENBAUM CAPITAL PARTNERS AND OTHERS,PRIVATE EQUITY,100000000,1
29/09/2015,PEPPERTAP,HYPERLOCAL GROCERY DELIVERY PLATFORM,OTHERS,GURUGRAM,"SEQUOIA INDIA, SAIF PARTNERS.",PRIVATE EQUITY,36000000,2
29/09/2015,ZAKOOPI,FASHION DISCOVERY PLATFORM,OTHERS,NEW DELHI,"UNIQORN VENTURES FUND, TV MOHANDAS PAI, S SOMASEGAR",SEED FUNDING,350000,3
28/09/2015,OLA CABS,CAB BOOKING APP PLATFORM,OTHERS,BENGALURU,DIDI KUAIDI,PRIVATE EQUITY,30000000,1
24/09/2015,QUINTYPE,DATA DRIVEN PUBLISHING PLATFORM,OTHERS,BENGALURU,"RAGHAV BAHL, RITU KAPUR",PRIVATE EQUITY,3300000,2
24/09/2015,CAPABILITI,EMPLOYEE ONBOARDING AND ORIENTATION PLATFORM,OTHERS,NOIDA,"500 STARTUPS, SMILE MULTIMEDIA, KUNAL BAHL, ROHIT BANSAL, GIRISH MATRUBOOTHAM",SEED FUNDING,400000,5
24/09/2015,FOURTH PARTNER ENERGY,SOLAR POWER SOLUTIONS COMPANY,OTHERS,HYDERABAD,"INFUSE VENTURES, THE CHENNAI ANGELS",PRIVATE EQUITY,2000000,2
24/09/2015,LICIOUS,ONLINE MEAT ORDERING PLATFORM,OTHERS,BENGALURU,"KANWALJIT SINGH, TV MOHANDAS PAI",SEED FUNDING,1000000,2
23/09/2015,SILVERPUSH,CROSSDEVICE RETARGETING PLATFORM,OTHERS,GURUGRAM,MANDS PARTNERS PTE. LTD,PRIVATE EQUITY,1200000,1
23/09/2015,JUGGERNAUT,DIGITAL AND PHYSICAL PUBLISHING PLATFORM,OTHERS,NEW DELHI,"WILLIAM BISSELL, NEERAJ AGGARWAL, NANDAN NILEKANI",PRIVATE EQUITY,2250000,3
23/09/2015,INNERCHEF,FOOD DELIVERY PLATFORM,OTHERS,NEW DELHI,"PHANINDRA SAMA, ANUPAM MITTAL, VIJAY SHEKHAR SHARMA, VISHAL GONDAL, SATEESH ANDARA AND OTHERS",PRIVATE EQUITY,1750000,5
22/09/2015,BESTDEALFINANCE,FINANCIAL SERVICES PORTAL,OTHERS,MUMBAI,"KALAARI CAPITAL, YOURNEST ANGEL FUND",PRIVATE EQUITY,3000000,2
22/09/2015,VIRTUAL LOGIC,"VIRTUAL REALITY, 3D SIMULATION AND STEREOSCOPIC PRODUCTS",OTHERS,BENGALURU,SWARNIM MULTIVENTURES,PRIVATE EQUITY,800000,1
22/09/2015,FURDO,ONLINE INTERIOR DESIGNING PLATFORM,OTHERS,BENGALURU,BHAVDEEP REDDY,SEED FUNDING,400000,1
22/09/2015,LOGINEXT,ENDTOEND LOGISTICS PLATFORM,OTHERS,MUMBAI,"PAYTM, SAIF PARTNERS, TIGER GLOBAL MANAGEMENT AND OTHERS",PRIVATE EQUITY,10000000,3
22/09/2015,KORRA,PRIVATE LABEL APPAREL SALES,OTHERS,NEW DELHI,ASHA JADEJA MOTWANI AND OTHERS,SEED FUNDING,300000,1
21/09/2015,PORTEA MEDICAL,HOME MEDICAL CARE SERVICES,OTHERS,BENGALURU,"ACCEL PARTNERS, INTERNATIONAL FINANCE CORPORATION (IFC), QUALCOMM VENTURES, VENTUREAST",PRIVATE EQUITY,37500000,4
21/09/2015,NEOTRADE ANALYTICS,REALTIME STOCK DATA PLATFORM,OTHERS,BENGALURU,RAINMATTER,SEED FUNDING,235000,1
21/09/2015,LAFALAFA,COUPONS AND CASHBACK AGGREGATOR APP,OTHERS,MUMBAI,"500 STARTUPS, SMILE MULTIMEDIA, KUNAL BAHL, ROHIT BANSAL, GIRISH MATRUBOOTHAM",SEED FUNDING,125000,5
18/09/2015,PLABRO,REAL ESTATE BROKER PLATFORM APP,OTHERS,NEW DELHI,"SACHIN BANSAL AND BINNY BANSAL, SOL PRIMERO, OUTBOX VENTURES, SANGRAM SINGH",SEED FUNDING,350000,4
18/09/2015,CUREJOY,ONLINE HEALTH AND WELLNESS PLATFORM,OTHERS,BENGALURU,"ACCEL PARTNERS, SUBRATA MITRA, LARRY BRAITMAN, VENK KRISHNA",PRIVATE EQUITY,1150000,4
18/09/2015,BRISTON TECHNOMACH,INTERNET OF THINGS PLATFORM,OTHERS,NEW DELHI,"UNDISCLOSED JAPANESE INVESTOR, BERTELSMANN INDIA INVESTMENTS, NIRVANA DIGITAL INDIA FUND, NIRVANA DIGITAL INVESTMENT HOLDING CO LTD, 500 STARTUPS",SEED FUNDING,150000,5
18/09/2015,LABSTREET,DIAGNOSTIC LABS AGGREGATOR PLATFORM,OTHERS,GURUGRAM,MULTIPLE INVESTORS THROUGH TEN MINUTE MILLION COMPETITION,SEED FUNDING,150000,1
17/09/2015,YEPME,PRIVATE LABEL FASHION ETAILER,OTHERS,GURUGRAM,"KHAZANAH NASIONAL BERHAD, HELION VENTURE PARTNERS",PRIVATE EQUITY,75000000,2
17/09/2015,BUENO,ONLINE FOOD ORDERING AND DELIVERY PLATFORM,OTHERS,GURUGRAM,HIGH NETWORTH INDIVIDUALS (NO DETAILS),SEED FUNDING,600000,1
16/09/2015,CHAIPOINT,FOOD SUBSCRIPTION PLATFORM,OTHERS,BENGALURU,EIGHT ROADS VENTURES INDIA,PRIVATE EQUITY,10000000,1
16/09/2015,WEDMEGOOD ,WEDDING PLANNING PLATFORM,OTHERS,GURUGRAM,"INDIAN ANGEL NETWORK (IAN), BEENEXT, THE CHENNAI ANGELS, SUNIL MUNJAL",SEED FUNDING,410000,4
16/09/2015,XSTOK,B2B MOBILE AUCTION MARKETPLACE,OTHERS,MUMBAI,"OLIPHANS CAPITAL, HARESH CHAWLA",SEED FUNDING,450000,2
15/09/2015,COVERFOX,ONLINE INSURANCE DISTRIBUTION PLATFORM,OTHERS,MUMBAI,CATARAMAN VENTURES,PRIVATE EQUITY,2000000,1
15/09/2015,MOENGAGE,MOBILE MARKETING AUTOMATION PLATFORM,OTHERS,BENGALURU,"HELION VENTURE PARTNERS, EXFINITY VENTURES",PRIVATE EQUITY,4250000,2
15/09/2015,TEA TRAILS,CHAIN OF TEA CAF X80X99S,OTHERS,MUMBAI,"ANIL MATAI, VIKRAM TANDON, SHYAM SUNDAR R AND OTHERS",SEED FUNDING,1000000,3
15/09/2015,ROOM ON CALL,BRANDED BUDGET HOTEL MARKETPLACE,OTHERS,NOIDA,PAYAL SYAL,SEED FUNDING,300000,1
14/09/2015,CANVASFLIP,MOBILE APP TESTING PLATFORM,OTHERS,HYDERABAD,"BESSEMER VENTURE PARTNERS, ORIOS VENTURE PARTNERS, TRIFECTA CAPITAL,",SEED FUNDING,1200000,4
14/09/2015,SHADOWFAX,HYPERLOCAL DELIVERY SERVICES,OTHERS,GURUGRAM,EIGHT ROADS VENTURES INDIA,PRIVATE EQUITY,9000000,1
14/09/2015,UE LIFE SCIENCES,EARLY CANCER DETECTION SOLUTIONS,OTHERS,US,"AARIN CAPITAL, UNITUS SEED FUND",PRIVATE EQUITY,3000000,2
14/09/2015,OLA CABS,CAB RENTAL MOBILE APP,OTHERS,BENGALURU,"FALCON EDGE CAPITAL, NY BASED HEDGE FUND, TIGER GLOBAL, SOFTBANK",PRIVATE EQUITY,225000000,4
12/09/2015,CREDRIGHT,USED VEHICLES MARKETPLACE,OTHERS,MUMBAI,EIGHT ROAD VENTURES,PRIVATE EQUITY,15000000,1
11/09/2015,FITMEIN,GYM AND FITNESS STUDIOS SUBSCRIPTION PLATFORM,OTHERS,NEW DELHI,GREEN HOUSE VENTURES ACCELERATOR,SEED FUNDING,100000,1
11/09/2015,ZAPYLE,PREUSED APPAREL SHOPPING MOBILE APP,OTHERS,BENGALURU,UNDISCLOSED INVESTORS AND TAMARIND FAMILY PRIVATE TRUST,SEED FUNDING,1000000,1
10/09/2015,ONLINETYARI,MULTILINGUAL TEST PREPARATION PLATFORM,OTHERS,GURUGRAM,"500 STARTUPS, TV MOHANDAS PAI, TANDEM CAPITAL, VIKRAM CHACHRA, ALOKE BAJPAI",PRIVATE EQUITY,770000,5
10/09/2015,INDUSTRYBUYING,INDUSTRIAL TOOLS MARKETPLACE,OTHERS,NEW DELHI,"KALAARI CAPITAL, SAIF PARTNERS, BEENEXTAN INVESTMENT FUND",PRIVATE EQUITY,9200000,3
10/09/2015,THE/NUDGE FOUNDATION,NON PROFIT ORGANIZATION TO ALLEVIATE POVERTY,OTHERS,BENGALURU,"NANADAN NILEKANI, INMOBI, PAYTM",SEED FUNDING,315000,3
08/09/2015,MOCKBANK,GOVERNMENT TEST PREPARATION PLATFORM,OTHERS,BENGALURU,"BLUME VENTURES, CONTRARIAN CAPITAL, 91SPRINGBOARD, EMERGENT VENTURES, ABSTRACT VENTURES, ANTHILL VENTURES, AXILOR VENTURES",SEED FUNDING,400000,7
07/09/2015,YOUTHKIAWAAZ,COMMUNITY DRIVEN NEWS/VIEWS PLATFORM,OTHERS,NEW DELHI,"RAGHAV BAHL, RITU KAPUR",SEED FUNDING,600000,2
07/09/2015,PROZO,STUDY MATERIAL MARKETPLACE,OTHERS,NEW DELHI,"NALIN JAIN, SHOMIL PANT, DINESH KUNDU AND OTHERS",SEED FUNDING,205000,3
07/09/2015,ZOMATO,RESTAURANT RATINGS AND REVIEWS PLATFORM,OTHERS,GURUGRAM,"TEMASEK, VY CAPITAL",PRIVATE EQUITY,60000000,2
07/09/2015,SAHAYOG DAIRY,DAIRY BASED PRODUCT MANUFACTURER,OTHERS,BHOPAL,ACUMEN FUND,PRIVATE EQUITY,1800000,1
04/09/2015,CLAPSNSLAPS,ONLINE MOVIE REVIEW PLATFORM,OTHERS,MUMBAI,R M PICTURE COMPANY PVT. LTD.,SEED FUNDING,150000,1
04/09/2015,BLUBOX,ECOMMERCE BRANDS X80X99 FULL SERVICE AGENCY,OTHERS,MUMBAI,ASHISH JHALANI,SEED FUNDING,100000,1
04/09/2015,ROOMCENTRAL,CLOUDBASED HOTEL BOOKING PLATFORM,OTHERS,BENGALURU,KARANPAL SINGH AND OTHERS,SEED FUNDING,2000000,1
03/09/2015,JOBSPIRE,JOB SEARCH PLATFORM,OTHERS,BENGALURU,PURVI CAPITAL,SEED FUNDING,260000,1
03/09/2015,VISTAAR FINANCE,SMALL BUSINESS FINANCING (NBFC),OTHERS,BENGALURU,"WESTBRIDGE CAPITAL, OMIDYAR NETWORK, ELEVAR EQUITY, SAAMA CAPITAL, LOK CAPITAL",PRIVATE EQUITY,40000000,5
02/09/2015,ZIVAME,ONLINE LINGERIE MARKETPLACE,OTHERS,BENGALURU,"ZODIUS TECHNOLOGY FUND, KHAZANAH NASIONAL BERHAD",PRIVATE EQUITY,40000000,2
02/09/2015,CAPILLARY TECH,CLOUD SOFTWARE SOLUTIONS,OTHERS,NEW DELHI,"WARBURG PINCUS, SEQUOIA CAPITAL, NORWEST VENTURE PARTNERS",PRIVATE EQUITY,45000000,3
01/09/2015,TOFLO,FINTECH STARTUP INCUBATION PLATFORM,OTHERS,MUMBAI,TANIA JOHNY PALATHINKAL,SEED FUNDING,100000,1
01/09/2015,STYLECRACKER,PERSONALIZED STYLING PLATFORM,OTHERS,MUMBAI,GROUP OF HNI INVESTORS,PRIVATE EQUITY,1000000,1
01/09/2015,LUXURYHUES,LUXURY GOODS SHOPPING PLATFORM,OTHERS,GURUGRAM,RELIANCE CAPITAL VENTURE,PRIVATE EQUITY,900000,1
31/08/2015,DROPKAFFE,ONLINE COFFEE DELIVERY PLATFORM,OTHERS,BENGALURU,"MANISH SINGHAL, P39 CAPITAL AND OTHERS",SEED FUNDING,300000,2
31/08/2015,REVERIE,LANGUAGE LOCALIZATION CLOUD PLATFORM,OTHERS,BENGALURU,"ASPADA INVESTMENT ADVISORS, QUALCOMM VENTURES",PRIVATE EQUITY,4000000,2
28/08/2015,VYOMO,BEAUTY AND LIFESTYLE MOBILE MARKETPLACE,OTHERS,BENGALURU,"ROCKET INTERNET AG, HOLTZBRINK VENTURES, NEW ENTERPRISE ASSOCIATES (NEA), E.VENTURES, RUNET, DEUTSCHE TELEKOM STRATEGIC INVESTMENTS (DTSI), SILICON VALLEY BANK",PRIVATE EQUITY,2000000,7
28/08/2015,ROLLMAFIA,QSR RESTAURANT CHAIN,OTHERS,PUNE,EQUENTIA NATURAL RESOURCES,SEED FUNDING,160000,1
